Position_x,Cell_Index,Humidity_t_0.50s
0.000250,0,0.0000000000
0.000750,1,0.0000000000
0.001250,2,0.0000000000
0.001750,3,0.0000000000
0.002250,4,0.0000000000
0.002750,5,0.0000000000
0.003250,6,0.0000000000
0.003750,7,0.0000000000
0.004250,8,0.0000000000
0.004750,9,0.0000000000
0.005250,10,0.0000000000
0.005750,11,0.0000000000
0.006250,12,0.0000000000
0.006750,13,0.0000000000
0.007250,14,0.0000000000
0.007750,15,0.0000000000
0.008250,16,0.0000000000
0.008750,17,0.0000000000
0.009250,18,0.0000000000
0.009750,19,0.0000000000
0.010250,20,0.0000000000
0.010750,21,0.0000000000
0.011250,22,0.0000000000
0.011750,23,0.0000000000
0.012250,24,0.0000000000
0.012750,25,0.0000000000
0.013250,26,0.0000000000
0.013750,27,0.0000000000
0.014250,28,0.0000000000
0.014750,29,0.0000000000
0.015250,30,0.0000000000
0.015750,31,0.0000000000
0.016250,32,0.0000000000
0.016750,33,0.0000000000
0.017250,34,0.0000000000
0.017750,35,0.0000000000
0.018250,36,0.0000000000
0.018750,37,0.0000000000
0.019250,38,0.0000000000
0.019750,39,0.0000000000
0.020250,40,0.0000000000
0.020750,41,0.0000000000
0.021250,42,0.0000000000
0.021750,43,0.0000000000
0.022250,44,0.0000000000
0.022750,45,0.0000000000
0.023250,46,0.0000000000
0.023750,47,0.0000000000
0.024250,48,0.0000000000
0.024750,49,0.0000000000
0.025250,50,0.0000000000
0.025750,51,0.0000000000
0.026250,52,0.0000000000
0.026750,53,0.0000000000
0.027250,54,0.0000000000
0.027750,55,0.0000000000
0.028250,56,0.0000000000
0.028750,57,0.0000000000
0.029250,58,0.0000000000
0.029750,59,0.0000000000
0.030250,60,0.0000000000
0.030750,61,0.0000000000
0.031250,62,0.0000000000
0.031750,63,0.0000000000
0.032250,64,0.0000000000
0.032750,65,0.0000000000
0.033250,66,0.0000000000
0.033750,67,0.0000000000
0.034250,68,0.0000000000
0.034750,69,0.0000000000
0.035250,70,0.0000000000
0.035750,71,0.0000000000
0.036250,72,0.0000000000
0.036750,73,0.0000000000
0.037250,74,0.0000000000
0.037750,75,0.0000000000
0.038250,76,0.0000000000
0.038750,77,0.0000000000
0.039250,78,0.0000000000
0.039750,79,0.0000000000
0.040250,80,0.0000000000
0.040750,81,0.0000000000
0.041250,82,0.0000000000
0.041750,83,0.0000000000
0.042250,84,0.0000000000
0.042750,85,0.0000000000
0.043250,86,0.0000000000
0.043750,87,0.0000000000
0.044250,88,0.0000000000
0.044750,89,0.0000000000
0.045250,90,0.0000000000
0.045750,91,0.0000000000
0.046250,92,0.0000000000
0.046750,93,0.0000000000
0.047250,94,0.0000000001
0.047750,95,0.0000000003
0.048250,96,0.0000000007
0.048750,97,0.0000000018
0.049250,98,0.0000000045
0.049750,99,0.0000000106
0.050250,100,0.0000000246
0.050750,101,0.0000000557
0.051250,102,0.0000001233
0.051750,103,0.0000002671
0.052250,104,0.0000005657
0.052750,105,0.0000011719
0.053250,106,0.0000023753
0.053750,107,0.0000047112
0.054250,108,0.0000091462
0.054750,109,0.0000173825
0.055250,110,0.0000323471
0.055750,111,0.0000589509
0.056250,112,0.0001052342
0.056750,113,0.0001840408
0.057250,114,0.0003153851
0.057750,115,0.0005296837
0.058250,116,0.0008720048
0.058750,117,0.0014074297
0.059250,118,0.0022275099
0.059750,119,0.0034576277
0.060250,120,0.0052648326
0.060750,121,0.0078654345
0.061250,122,0.0115313195
0.061750,123,0.0165936816
0.062250,124,0.0234426577
0.062750,125,0.0325213224
0.063250,126,0.0443127304
0.063750,127,0.0593191758
0.064250,128,0.0780335665
0.064750,129,0.1009038761
0.065250,130,0.1282929033
0.065750,131,0.1604361832
0.066250,132,0.1974025816
0.066750,133,0.2390614450
0.067250,134,0.2850612700
0.067750,135,0.3348223865
0.068250,136,0.3875467479
0.068750,137,0.4422439933
0.069250,138,0.4977723658
0.069750,139,0.5528907180
0.070250,140,0.6063162088
0.070750,141,0.6567822695
0.071250,142,0.7030917406
0.071750,143,0.7441604137
0.072250,144,0.7790488601
0.072750,145,0.8069822192
0.073250,146,0.8273594975
0.073750,147,0.8397547603
0.074250,148,0.8439145088
0.074750,149,0.8397547603
0.075250,150,0.8273595572
0.075750,151,0.8069822788
0.076250,152,0.7790488601
0.076750,153,0.7441604137
0.077250,154,0.7030917406
0.077750,155,0.6567822695
0.078250,156,0.6063162684
0.078750,157,0.5528908372
0.079250,158,0.4977725148
0.079750,159,0.4422441125
0.080250,160,0.3875468671
0.080750,161,0.3348225653
0.081250,162,0.2850614488
0.081750,163,0.2390616089
0.082250,164,0.1974027157
0.082750,165,0.1604363173
0.083250,166,0.1282930076
0.083750,167,0.1009039655
0.084250,168,0.0780336335
0.084750,169,0.0593192317
0.085250,170,0.0443127751
0.085750,171,0.0325213522
0.086250,172,0.0234426819
0.086750,173,0.0165937003
0.087250,174,0.0115313325
0.087750,175,0.0078654429
0.088250,176,0.0052648392
0.088750,177,0.0034576317
0.089250,178,0.0022275122
0.089750,179,0.0014074313
0.090250,180,0.0008720059
0.090750,181,0.0005296845
0.091250,182,0.0003153856
0.091750,183,0.0001840411
0.092250,184,0.0001052344
0.092750,185,0.0000589510
0.093250,186,0.0000323472
0.093750,187,0.0000173826
0.094250,188,0.0000091462
0.094750,189,0.0000047113
0.095250,190,0.0000023753
0.095750,191,0.0000011719
0.096250,192,0.0000005657
0.096750,193,0.0000002671
0.097250,194,0.0000001233
0.097750,195,0.0000000557
0.098250,196,0.0000000246
0.098750,197,0.0000000106
0.099250,198,0.0000000045
0.099750,199,0.0000000018
